"gene","title","rho","SD","AVG","Young_1","Young_2","Young_3","Young_4","Old_1","Old_2","Old_3"
"8030462N17Rik",NA,0.194,0.302,3.448,3.073,3.833,3.491,3.125,3.579,3.766,3.269
"9030612E09Rik",NA,-0.611,0.214,1.269,1.463,1.113,1.528,1.447,1.198,1.186,0.95
"9130008F23Rik",NA,-0.676,0.428,1.133,1.389,1.589,1.662,0.797,0.563,1.128,0.8
"9130019O22Rik",NA,-0.508,0.665,4.211,4.082,5.517,4.607,3.546,3.803,4.101,3.82
"9130023H24Rik",NA,0.836,0.654,3.391,2.532,2.408,3.619,3.567,3.972,3.634,4.007
"9130401M01Rik",NA,-0.82,0.375,5.22,5.641,5.509,5.359,5.235,5.11,5.207,4.479
"9330151L19Rik",NA,-0.138,0.57,1.459,1.096,2.125,2.231,0.623,1.538,1.199,1.399
"9430015G10Rik",NA,-0.08,0.627,2.579,1.742,3.22,3.293,2.485,1.942,2.295,3.075
"9430038I01Rik",NA,-0.802,0.575,4.607,4.694,5.161,5.189,4.885,4.139,4.591,3.591
"9530068E07Rik",NA,-0.519,0.304,7.772,7.742,8.099,8.234,7.509,7.836,7.542,7.444
"9930012K11Rik",NA,-0.083,0.542,3.01,3.422,3.139,2.893,2.416,3.357,3.654,2.189
"9930021J03Rik",NA,0.433,0.841,2.869,1.908,3.517,1.478,3.151,3.337,3.669,3.021
"9930111J21Rik1",NA,-0.137,1.837,3.225,1.169,5.598,5.379,1.518,4.192,2.81,1.909
"9930111J21Rik2",NA,-0.23,0.648,4.296,5.055,3.648,4.052,5.029,3.366,4.531,4.39
"A130010J15Rik",NA,-0.76,0.648,4.684,4.75,5.262,5.696,4.685,4.45,4.186,3.761
"A430005L14Rik",NA,-0.668,0.34,5.423,5.669,5.608,5.874,5.225,5.426,5.324,4.834
"A430033K04Rik",NA,0.25,0.982,1.973,1.19,3.195,1.43,1.075,1.107,3.105,2.711
"A4galt","alpha 1,4-galactosyltransferase (P blood group)",-0.069,0.427,3.32,3.263,3.889,3.411,2.719,2.806,3.622,3.531
"A530016L24Rik",NA,0.433,0.656,2.054,2.289,0.957,2.304,1.751,3.019,2.374,1.686
"A630001G21Rik",NA,-0.177,0.692,0.955,1.557,0.298,2.034,0.479,1.238,0.177,0.9
"A630076J17Rik",NA,0.862,0.463,1.758,1.383,1.497,1.349,1.437,2.106,2.554,1.982
"A930004D18Rik",NA,0.586,0.709,2.552,2.702,1.445,2.116,2.519,3.696,3.029,2.361
"A930033H14Rik",NA,-0.061,0.771,1.071,1.476,0.654,1.94,0.479,0,2.044,0.9
"AA386476",NA,0.077,0.323,1.325,1.156,1.383,1.478,1.212,0.984,1.952,1.108
"AA467197",NA,-0.348,0.864,2.58,2.19,3.601,3.934,1.571,2.526,2.175,2.062
"AA986860",NA,0.261,0.584,0.793,0.979,1.103,0.441,0,0.2,1.282,1.548
"Aaas","aladin WD repeat nucleoporin",0.906,0.445,4.056,3.443,3.753,4.164,3.661,4.246,4.581,4.545
"Aacs","acetoacetyl-CoA synthetase",0.042,0.589,3.436,3.699,3.781,2.336,3.621,3.741,2.909,3.966
"Aagab","alpha and gamma adaptin binding protein",-0.459,0.277,3.858,3.69,4.188,4.238,3.728,3.805,3.897,3.463
"Aak1","AP2 associated kinase 1",0.633,0.383,4.407,4.053,4.547,4.182,3.999,4.298,5.044,4.724
"Aamdc","adipogenesis associated Mth938 domain containing",-0.728,0.374,5.399,5.8,5.506,5.805,5.313,5.194,5.446,4.728
"Aamp","angio associated migratory cell protein",0.847,0.38,6.548,6.105,6.484,6.468,6.059,7.05,6.783,6.887
"Aar2","AAR2 splicing factor",0.419,0.368,6.7,6.475,6.962,6.765,5.975,7.054,6.864,6.804
"Aars",NA,0.812,0.494,4.502,4.266,4.223,4.402,3.834,4.55,4.889,5.35
"Aars2","alanyl-tRNA synthetase 2, mitochondrial",0.397,0.385,1.664,1.708,1.832,1.539,0.941,1.538,2.133,1.958
"Aarsd1","alanyl-tRNA synthetase domain containing 1",0.368,0.386,4.991,4.664,4.761,5.585,4.594,5.458,4.905,4.97
"Aasdh","aminoadipate-semialdehyde dehydrogenase",0.056,0.858,2.154,2.289,3.176,1.349,1.036,2.559,3.118,1.55
"Aasdhppt","aminoadipate-semialdehyde dehydrogenase-phosphopan",-0.668,0.419,5.037,5.073,5.348,5.488,5.113,5.178,4.851,4.205
"Aatf","apoptosis antagonizing transcription factor",0.25,0.431,3.274,3.547,3.412,2.695,2.945,2.885,3.578,3.855
"Aatk","apoptosis associated tyrosine kinase",0.199,0.912,1.764,2.469,1.82,1.287,0.609,0.766,3.009,2.387
"Abat","4-aminobutyrate aminotransferase",0.718,0.772,0.888,1.297,0,0.162,0.178,1.153,1.431,1.994
"Abca1","ATP binding cassette subfamily A member 1",-0.278,0.472,6.777,6.354,7.484,7.39,6.328,6.538,6.693,6.649
"Abca14",NA,-0.828,0.707,0.828,1.297,1.504,1.758,0.609,0.626,0,0
"Abca2","ATP binding cassette subfamily A member 2",0.692,0.791,2.455,2.903,1.562,1.706,1.751,2.963,2.664,3.638
"Abca3","ATP binding cassette subfamily A member 3",0.655,0.467,4.788,4.764,4.597,4.782,3.957,5.173,4.798,5.446
"Abca4","ATP binding cassette subfamily A member 4",0.098,0.671,0.68,1.635,0.157,0.162,0.341,0.187,1.625,0.654
"Abca5","ATP binding cassette subfamily A member 5",0.41,0.275,3.15,2.933,2.937,3.277,3.13,3.129,3.698,2.944
"Abca7","ATP binding cassette subfamily A member 7",0.75,0.856,3.861,2.903,4.122,3.58,2.615,4.753,4.304,4.748
"Abca8a",NA,0.673,0.563,1.125,1.199,0,1.051,1.21,1.062,1.625,1.726
"Abca8b",NA,0.478,0.481,2.02,1.844,2.327,1.105,1.806,2.526,2.256,2.277
"Abcb10","ATP binding cassette subfamily B member 10",0.663,0.378,5.062,4.48,4.918,5.398,4.712,5.468,5.376,5.079
"Abcb1a",NA,0.883,0.322,6.527,6.421,6.278,6.176,6.28,6.694,6.799,7.04
"Abcb1b",NA,0.569,0.294,5.328,5.203,5.387,5.297,4.783,5.489,5.74,5.394
"Abcb4","ATP binding cassette subfamily B member 4",0.754,0.722,2.294,1.001,2.572,2.116,1.755,2.919,2.686,3.008
"Abcb6","ATP binding cassette subfamily B member 6 (Langere",0.887,0.455,3.725,3.541,3.212,3.661,3.15,4.218,4.232,4.06
"Abcb7","ATP binding cassette subfamily B member 7",-0.605,0.427,3.92,3.68,4.528,4.459,3.887,3.536,3.909,3.443
"Abcb8","ATP binding cassette subfamily B member 8",-0.072,0.921,1.831,1.982,2.191,2.74,0.729,0.347,2.354,2.477
"Abcb9","ATP binding cassette subfamily B member 9",0.685,0.469,3.35,3.107,3.396,2.978,2.756,3.967,3.275,3.969
"Abcc1","ATP binding cassette subfamily C member 1",0.404,0.487,3.777,3.188,4.339,3.521,3.387,3.536,4.055,4.413
"Abcc10","ATP binding cassette subfamily C member 10",0.323,0.393,2.826,2.092,2.919,3.148,2.935,3.014,2.498,3.177
"Abcc12","ATP binding cassette subfamily C member 12",0.117,0.666,0.779,0.217,0,1.349,1.633,1.396,0.605,0.254
"Abcc4","ATP binding cassette subfamily C member 4",0.561,0.377,6.655,6.304,6.919,6.586,6.051,6.653,7.068,7.002
"Abcc5","ATP binding cassette subfamily C member 5",0.303,0.36,4.945,4.688,5.143,5.176,4.333,5.422,5.017,4.835
"Abcc9","ATP binding cassette subfamily C member 9",0.439,1.172,3.893,4.339,3.487,4.305,1.67,3.982,3.911,5.555
"Abcd1","ATP binding cassette subfamily D member 1",0.174,0.243,4.766,5.054,4.539,4.923,4.39,4.892,4.649,4.919
"Abcd2","ATP binding cassette subfamily D member 2",-0.531,0.721,0.851,1.607,0.686,2.04,0.488,0,0.359,0.776
"Abcd3","ATP binding cassette subfamily D member 3",0.553,0.506,4.638,4.319,4.357,5.273,3.809,4.776,4.841,5.092
"Abcd4","ATP binding cassette subfamily D member 4",0.63,0.458,3.476,3.642,3.314,2.839,2.977,3.604,4.098,3.858
"Abce1","ATP binding cassette subfamily E member 1",0.195,0.246,6.046,5.58,6.395,5.945,6.114,6.113,6.064,6.109
"Abcf1","ATP binding cassette subfamily F member 1",0.885,0.482,4.422,3.884,3.972,4.681,3.887,4.775,4.825,4.932
"Abcf2","ATP binding cassette subfamily F member 2",0.827,0.464,4.924,4.375,4.746,5.014,4.363,5.018,5.577,5.372
"Abcf3","ATP binding cassette subfamily F member 3",0.234,0.407,5.688,5.161,6.166,5.94,5.169,5.528,6.015,5.836
"Abcg1","ATP binding cassette subfamily G member 1",0.091,0.377,4.509,4.035,4.974,4.724,4.177,4.885,4.179,4.587
"Abcg2","ATP binding cassette subfamily G member 2 (Junior ",0.317,0.349,9.358,8.918,9.541,9.768,8.859,9.608,9.502,9.307
"Abcg3",NA,0.703,0.756,2.46,2.468,1.995,2.497,1.036,2.988,2.982,3.257
"Abhd10","abhydrolase domain containing 10, depalmitoylase",0.003,0.394,5.1,4.555,5.744,5.245,4.79,5.145,5.337,4.886
"Abhd11","abhydrolase domain containing 11",-0.84,0.409,3.712,4.335,4.093,3.798,3.588,3.23,3.692,3.248
"Abhd12","abhydrolase domain containing 12, lysophospholipas",0.797,0.248,6.155,5.925,6.167,6.021,5.809,6.482,6.337,6.347
"Abhd13","abhydrolase domain containing 13",-0.246,0.516,5.048,4.964,5.487,5.49,4.512,5.221,5.459,4.203
"Abhd14a","abhydrolase domain containing 14A",0.28,0.341,3.447,3.819,3.176,3.108,3.193,3.918,3.662,3.252
"Abhd14b","abhydrolase domain containing 14B",0.794,0.299,4.065,3.998,3.9,3.673,3.822,4.275,4.523,4.262
"Abhd16a","abhydrolase domain containing 16A, phospholipase",0.933,0.31,7.355,7.103,7.138,7.262,6.963,7.649,7.696,7.674
"Abhd17a","abhydrolase domain containing 17A, depalmitoylase",0.417,0.344,5.999,5.775,5.816,6.16,5.743,6.558,6.301,5.64
"Abhd17b","abhydrolase domain containing 17B, depalmitoylase",-0.504,0.544,4.288,4.461,5.041,4.38,3.895,4.2,4.679,3.362
"Abhd17c","abhydrolase domain containing 17C, depalmitoylase",0.192,0.43,3.609,3.506,3.212,3.728,3.71,4.087,4.087,2.931
"Abhd2","abhydrolase domain containing 2, acylglycerol lipa",0.602,0.556,6.122,5.605,6.194,6.436,5.226,6.102,6.391,6.902
"Abhd3","abhydrolase domain containing 3, phospholipase",-0.621,0.735,2.254,2.426,3.021,2.773,2.305,2.314,0.723,2.219
"Abhd4","abhydrolase domain containing 4, N-acyl phospholip",0.486,0.58,5.851,5.693,5.09,6.155,5.766,5.29,6.802,6.162
"Abhd5","abhydrolase domain containing 5, lysophosphatidic ",-0.092,0.241,6.036,5.725,6.357,6.288,5.847,6.009,6.169,5.858
"Abhd6","abhydrolase domain containing 6, acylglycerol lipa",0.164,0.128,5.044,4.823,5.229,5.042,5.028,4.964,5.097,5.125
"Abhd8","abhydrolase domain containing 8",0.704,0.513,3.818,3.169,3.769,3.587,3.485,4.639,4.372,3.707
"Abi1","abl interactor 1",-0.405,0.185,6.938,6.853,7.223,6.988,6.864,6.985,7.027,6.625
"Abi2","abl interactor 2",0.04,0.353,4.892,4.429,5.496,4.995,4.535,4.945,5.034,4.814
"Abi3","ABI family member 3",0.724,0.212,5.206,5.081,5.067,5.339,4.868,5.329,5.257,5.499
"Abi3bp","ABI family member 3 binding protein",-0.398,0.802,1.01,0.458,1.835,2.435,0.479,0.86,0.603,0.397
"Abl1","ABL proto-oncogene 1, non-receptor tyrosine kinase",-0.386,0.197,4.194,4.249,4.562,4.039,4.036,4.198,4.273,3.999
"Abl2","ABL proto-oncogene 2, non-receptor tyrosine kinase",-0.269,0.761,3.011,2.515,3.782,4.296,2.195,2.661,3.058,2.572
"Ablim1","actin binding LIM protein 1",0.656,0.683,8.078,7.332,8.302,8.08,7.183,8.001,8.452,9.196
"Ablim2","actin binding LIM protein family member 2",0.289,0.555,1.41,1.095,0.593,2.086,1.571,1.727,1.901,0.9
"Ablim3","actin binding LIM protein family member 3",0.88,0.738,7.151,6.394,6.919,7.035,6.145,7.792,7.638,8.136
"Abr","ABR activator of RhoGEF and GTPase",0.044,0.459,5.307,5.109,5.828,5.632,4.469,5.247,5.669,5.194
"Abra","actin binding Rho activating protein",-0.854,0.636,1.248,1.492,2.439,1.132,1.518,0.788,0.612,0.755
"Abracl","ABRA C-terminal like",-0.768,0.703,6.094,6.565,6.379,6.82,6.319,5.836,6.064,4.673
"Abt1","activator of basal transcription 1",0.307,0.41,4.892,4.803,5.017,5.214,4.037,5.267,4.928,4.977
"Abtb1","ankyrin repeat and BTB domain containing 1",0.856,0.304,5.16,4.936,4.904,5.029,4.896,5.446,5.676,5.236
"Abtb2","ankyrin repeat and BTB domain containing 2",0.328,0.335,1.039,0.571,1.445,1.131,0.609,1.319,1.03,1.17
"Acaa1a",NA,0.596,0.345,6.498,6.175,6.679,6.475,5.904,6.722,6.892,6.639
"Acaa2","acetyl-CoA acyltransferase 2",0.872,0.33,7.086,6.764,6.984,6.946,6.731,7.304,7.217,7.659
"Acaca","acetyl-CoA carboxylase alpha",0.453,0.335,3.39,3.044,3.502,3.257,3.333,2.999,3.661,3.93
"Acacb","acetyl-CoA carboxylase beta",-0.453,0.453,4.046,4.353,4.576,4.282,3.423,4.372,3.713,3.604
"Acad10","acyl-CoA dehydrogenase family member 10",0.745,0.657,2.661,1.815,2.993,1.972,2.157,3.052,3.213,3.422
"Acad11","acyl-CoA dehydrogenase family member 11",0.724,0.779,3.284,2.139,3.615,2.748,2.775,3.318,4.275,4.117
"Acad12",NA,-0.458,0.301,5.065,4.919,5.445,5.437,4.935,4.65,5.186,4.88
"Acad8","acyl-CoA dehydrogenase family member 8",0.346,0.46,4.333,3.427,4.782,4.584,4.068,4.6,4.536,4.333
"Acad9","acyl-CoA dehydrogenase family member 9",0.582,0.544,4.161,3.325,3.88,4.779,3.879,4.692,3.95,4.619
"Acadl","acyl-CoA dehydrogenase long chain",0.386,0.352,6.556,6.188,6.77,6.719,6.179,6.312,6.594,7.133
"Acadm","acyl-CoA dehydrogenase medium chain",0.182,0.425,5.861,5.526,6.038,6.456,5.178,5.975,6.147,5.705
"Acads","acyl-CoA dehydrogenase short chain",-0.167,0.35,4.972,4.914,4.859,5.659,4.72,5.117,4.97,4.567
"Acadsb","acyl-CoA dehydrogenase short/branched chain",0.486,0.379,5.048,4.596,5.305,4.927,4.758,5.43,4.759,5.562
"Acadvl","acyl-CoA dehydrogenase very long chain",0.798,0.435,5.993,5.672,5.967,5.826,5.325,6.152,6.447,6.563
"Acap1","ArfGAP with coiled-coil, ankyrin repeat and PH dom",-0.468,0.417,3.221,3.26,3.863,3.663,2.645,3.012,3.029,3.072
"Acap2","ArfGAP with coiled-coil, ankyrin repeat and PH dom",-0.043,0.507,0.312,1.061,0,0,0.067,0,1.046,0.009
"Acap3","ArfGAP with coiled-coil, ankyrin repeat and PH dom",0.723,0.759,3.523,3.716,2.624,3.521,2.343,4.244,4.195,4.018
"Acat1","acetyl-CoA acetyltransferase 1",0.574,0.312,6.399,6.129,6.362,6.587,5.919,6.88,6.398,6.516
"Acat2","acetyl-CoA acetyltransferase 2",0.401,0.529,4.241,3.308,4.741,3.889,4.273,4.609,4.766,4.101
"Acbd3","acyl-CoA binding domain containing 3",-0.704,0.4,4.437,4.438,4.887,4.907,4.391,4.47,4.231,3.735
"Acbd4","acyl-CoA binding domain containing 4",0.382,0.292,4.538,4.452,4.721,4.264,4.176,4.981,4.764,4.406
"Acbd5","acyl-CoA binding domain containing 5",0.426,0.551,4.002,3.39,3.917,4.735,3.354,3.82,4.661,4.137
"Acbd6","acyl-CoA binding domain containing 6",0.798,0.477,4.627,4.117,4.291,4.638,4.223,5.127,5.387,4.609
