gene_name,gene_title,chr,logFC,stars,meta.q,AveExpr0,AveExpr1,UP/DOWN
Ccm2l,cerebral cavernous malformation 2-like,2,1.553131326,★,0.010846414,2.848457001,4.401588327,UP
Rnf123,ring finger protein 123,9,1.552127485,★,0.006832257,1.989899092,3.542026578,UP
Trappc9,trafficking protein particle complex 9,15,1.54231101,★,0.002923659,2.750001796,4.292312806,UP
Itm2a,integral membrane protein 2A,X,-1.542094347,★,0.002777904,5.889832905,4.347738559,DOWN
Cpm,carboxypeptidase M,10,1.541561579,★,0.008266841,2.051657943,3.593219522,UP
Gga1,"golgi associated, gamma adaptin ear containing, AR...",15,1.52867817,★,0.020469838,0.702437196,2.231115366,UP
Cntf,ciliary neurotrophic factor,19,-1.525752989,★,0.00866456,2.894722423,1.368969434,DOWN
Ache,acetylcholinesterase,5,1.522283099,★,0.038082347,0.202461617,1.724744716,UP
Ttc8,tetratricopeptide repeat domain 8,12,1.521657044,★,0.008266699,1.751313792,3.272970836,UP
Spock2,"sparc/osteonectin, cwcv and kazal-like domains pro...",10,1.516653266,★,0.008861568,2.240161477,3.756814744,UP
Slc12a7,"solute carrier family 12, member 7",13,1.515682194,★,0.000736893,5.227425054,6.743107248,UP
Cenpa,centromere protein A,5,-1.510727476,★,0.011790537,4.354411672,2.843684196,DOWN
Pde4a,"phosphodiesterase 4A, cAMP specific",9,1.502252386,★,0.011067779,1.932392289,3.434644674,UP
Myl9,"myosin, light polypeptide 9, regulatory",2,1.498686531,★,0.001587591,5.336031881,6.834718412,UP
H2-Q4,"histocompatibility 2, Q region locus 4",17,1.489530866,★,0.001724324,5.724454917,7.213985783,UP
Pck2,phosphoenolpyruvate carboxykinase 2 (mitochondrial...,14,1.48677269,★,0.008298745,2.796100011,4.282872701,UP
Tox2,TOX high mobility group box family member 2,2,1.485582623,★,0.015794578,0.999192002,2.484774625,UP
Eefsec,"eukaryotic elongation factor, selenocysteine-tRNA-...",6,1.484448725,★,0.03265769,1.802228452,3.286677177,UP
Prom1,prominin 1,5,1.483263205,★,0.004106721,3.697111754,5.180374959,UP
C1s1,"complement component 1, s subcomponent 1",6,1.479158356,★,0.009887441,2.203225255,3.68238361,UP
Fscn1,fascin actin-bundling protein 1,5,1.475698125,★,0.001089062,5.754651896,7.230350021,UP
Ece1,endothelin converting enzyme 1,4,1.475577042,★,0.00052554,6.737315947,8.212892989,UP
Tnfrsf19,"tumor necrosis factor receptor superfamily, member...",14,1.474077027,★,0.013799477,0.804538425,2.278615453,UP
Cutal,cutA divalent cation tolerance homolog-like,2,-1.469970348,★,0.032346525,2.562106292,1.092135944,DOWN
Jup,junction plakoglobin,11,1.464065871,★,0.000507521,8.983464248,10.44753012,UP
Mical3,"microtubule associated monooxygenase, calponin and...",6,-1.462719309,★,0.017292809,2.002181405,0.539462096,DOWN
Alox12,arachidonate 12-lipoxygenase,11,1.461326418,★,0.001953244,3.836343538,5.297669956,UP
Nlrx1,NLR family member X1,9,1.456754084,★,0.011279442,1.648376649,3.105130733,UP
Jade2,jade family PHD finger 2,11,1.456165282,★,0.008054082,2.526477835,3.982643118,UP
Agtr1a,"angiotensin II receptor, type 1a",13,1.455797853,★,0.021084689,1.276516437,2.73231429,UP
Cdt1,chromatin licensing and DNA replication factor 1,8,1.45522594,★,0.012639816,0.427553574,1.882779514,UP
Riok1,RIO kinase 1,13,1.453222392,★,0.008960868,2.240919014,3.694141406,UP
Cbx7,chromobox 7,15,1.452771845,★,0.001031262,4.505898601,5.958670446,UP
Tpcn2,two pore segment channel 2,7,1.44857315,★,0.045952379,1.130133783,2.578706933,UP
Pycard,PYD and CARD domain containing,7,-1.447249264,★,0.010034542,3.316186585,1.868937321,DOWN
Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",11,1.443492992,★,0.011770083,2.191934855,3.635427847,UP
Tap2,"transporter 2, ATP-binding cassette, sub-family B ...",17,1.443265402,★,0.001249212,5.397012113,6.840277515,UP
Tmem201,transmembrane protein 201,4,1.442171161,★,0.003348575,3.653264346,5.095435507,UP
Trim62,tripartite motif-containing 62,4,1.440385366,★,0.015369359,0.903924596,2.344309962,UP
Kit,KIT proto-oncogene receptor tyrosine kinase,5,1.435527388,★,0.002588218,4.02886099,5.464388378,UP
Os9,amplified in osteosarcoma,10,1.427589151,★,0.001953244,4.98480649,6.412395641,UP
Prpf6,pre-mRNA splicing factor 6,2,1.427458043,★,0.002777904,4.213859709,5.641317753,UP
Bdkrb2,"bradykinin receptor, beta 2",12,1.427281378,★,0.013201717,1.320385624,2.747667002,UP
Tchh,trichohyalin,3,1.427272945,★,0.026834482,0.729981875,2.157254821,UP
Reck,reversion-inducing-cysteine-rich protein with kaza...,4,1.426845334,★,0.010034542,2.192087721,3.618933055,UP
Patz1,POZ (BTB) and AT hook containing zinc finger 1,11,1.42576281,★,0.007082429,3.209672658,4.635435468,UP
Psat1,phosphoserine aminotransferase 1,19,-1.424768292,★,0.012639816,3.675936855,2.251168563,DOWN
Ncdn,neurochondrin,4,1.424754975,★,0.009721001,2.480165996,3.904920971,UP
Rfx1,"regulatory factor X, 1 (influences HLA class II ex...",8,1.422655907,★,0.013288856,1.738475325,3.161131231,UP
Tom1,target of myb1 trafficking protein,8,1.422054006,★,0.0096487,2.579783613,4.00183762,UP
Pik3cd,"phosphatidylinositol-4,5-bisphosphate 3-kinase cat...",4,1.41422912,★,0.01910287,1.208293777,2.622522897,UP
Gpatch2l,G patch domain containing 2 like,12,1.413750626,★,0.023347532,0.643948447,2.057699073,UP
Ifi44,interferon-induced protein 44,3,-1.413255206,★,0.00117967,7.122935466,5.70968026,DOWN
Rrp1,ribosomal RNA processing 1,10,1.40968437,★,0.006446855,4.522764111,5.932448481,UP
Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,1.406942023,★,0.013977696,2.190366959,3.597308982,UP
Gm4737,predicted gene 4737,16,-1.404585382,★,0.040280066,1.569672264,0.165086881,DOWN
Themis2,thymocyte selection associated family member 2,4,1.404055822,★,0.001493164,4.457809374,5.861865196,UP
Pld3,"phospholipase D family, member 3",7,1.402385583,★,0.004831846,4.307302269,5.709687852,UP
Emp1,epithelial membrane protein 1,6,-1.400070849,★,0.03748855,6.413709387,5.013638538,DOWN
H6pd,hexose-6-phosphate dehydrogenase (glucose 1-dehydr...,4,1.398181973,★,0.0096487,2.128837946,3.527019919,UP
Naaa,N-acylethanolamine acid amidase,5,1.397836551,★,0.006504794,3.089752634,4.487589185,UP
Casq2,calsequestrin 2,3,1.39740132,★,0.03236516,3.16421496,4.56161628,UP
Nme2,NME/NM23 nucleoside diphosphate kinase 2,11,-1.39630337,★,0.000330848,9.390016392,7.993713022,DOWN
Bag3,BCL2-associated athanogene 3,7,1.395295907,★,0.000890817,5.14832158,6.543617488,UP
Clptm1,cleft lip and palate associated transmembrane prot...,7,1.393970952,★,0.00106225,4.764704937,6.158675888,UP
Pmm1,phosphomannomutase 1,15,1.393512783,★,0.006504794,3.057389589,4.450902372,UP
Gm8909,predicted gene 8909,17,1.38996165,★,0.017108695,0.321738859,1.711700508,UP
Ctla2a,cytotoxic T lymphocyte-associated protein 2 alpha,13,-1.38333678,★,0.001249212,7.728355529,6.345018749,DOWN
Ppp1r16a,"protein phosphatase 1, regulatory subunit 16A",15,1.379553465,★,0.015388742,1.489682699,2.869236164,UP
Tapbp,TAP binding protein,17,1.378021447,★,0.016203442,5.103432342,6.481453789,UP
Ptpn23,"protein tyrosine phosphatase, non-receptor type 23",9,1.377463684,★,0.020297058,2.461283863,3.838747547,UP
Lyl1,lymphoblastomic leukemia 1,8,1.375646413,★,0.001953244,4.364794094,5.740440507,UP
Immp1l,IMP1 inner mitochondrial membrane peptidase-like (...,2,-1.375478372,★,0.001080666,7.840373258,6.464894885,DOWN
Hmg20a,high mobility group 20A,9,1.373127969,★,0.010598336,3.490831367,4.863959336,UP
F2r,coagulation factor II (thrombin) receptor,13,1.37185334,★,0.0032852,3.974443823,5.346297162,UP
Ttyh3,tweety family member 3,5,1.369733683,★,0.026834482,1.646090508,3.015824191,UP
Donson,downstream neighbor of SON,16,1.368809075,★,0.011286381,2.713810206,4.082619282,UP
Scara3,"scavenger receptor class A, member 3",14,1.366204905,★,0.024129157,1.474376331,2.840581236,UP
Mvp,major vault protein,7,1.363568759,★,0.004019947,4.576348978,5.939917737,UP
Crat,carnitine acetyltransferase,2,1.363049011,★,0.008620128,3.771953441,5.135002453,UP
Kcnc4,"potassium voltage gated channel, Shaw-related subf...",3,1.362167162,★,0.023063561,0.534623705,1.896790867,UP
Tead4,TEA domain family member 4,6,1.362022011,★,0.002777904,4.374081033,5.736103044,UP
Cfap57,cilia and flagella associated protein 57,4,1.359669041,★,0.001623751,4.83078486,6.190453901,UP
Relb,avian reticuloendotheliosis viral (v-rel) oncogene...,7,1.359147933,★,0.007861551,3.294637913,4.653785846,UP
Acer2,alkaline ceramidase 2,4,1.358311986,★,0.002642355,5.110332476,6.468644462,UP
Atp13a2,ATPase type 13A2,4,1.357807967,★,0.013598176,2.717578044,4.075386011,UP
Lmf2,lipase maturation factor 2,15,1.356536692,★,0.002408529,5.062106474,6.418643167,UP
Lrig1,leucine-rich repeats and immunoglobulin-like domai...,6,1.356233798,★,0.020934072,1.511096338,2.867330135,UP
H2-Ab1,"histocompatibility 2, class II antigen A, beta 1",17,1.353800073,★,0.025785694,1.290508075,2.644308148,UP
Pltp,phospholipid transfer protein,2,1.353052826,★,0.000124743,8.145836533,9.498889358,UP
Cx3cl1,chemokine (C-X3-C motif) ligand 1,8,1.352743988,★,0.002376769,4.787028387,6.139772375,UP
Ap2a1,"adaptor-related protein complex 2, alpha 1 subunit",7,1.352361129,★,0.006675099,3.384784693,4.737145822,UP
Tmem147,transmembrane protein 147,7,-1.35016999,★,0.001079873,8.146504739,6.79633475,DOWN
Prelp,proline arginine-rich end leucine-rich repeat,1,1.349525234,★,0.038048536,2.768893932,4.118419166,UP
Prune2,prune homolog 2,19,1.348960371,★,0.018886748,0.369408084,1.718368456,UP
Gng7,"guanine nucleotide binding protein (G protein), ga...",10,1.347553975,★,0.018073518,0.391652001,1.739205976,UP
Ltbp4,latent transforming growth factor beta binding pro...,7,1.346377555,★,0.000158469,8.499605966,9.845983521,UP
Fkbp11,FK506 binding protein 11,15,-1.345940122,★,0.020397367,3.123455264,1.777515142,DOWN
Rnf26,ring finger protein 26,9,1.345756351,★,0.032093907,1.427109704,2.772866055,UP
Prkcz,"protein kinase C, zeta",4,1.345546038,★,0.015919425,1.62723406,2.972780098,UP
Snapc2,"small nuclear RNA activating complex, polypeptide ...",8,1.345528259,★,0.005559394,3.924171042,5.2696993,UP
Gngt2,"guanine nucleotide binding protein (G protein), ga...",11,-1.344717381,★,0.002211937,8.146367367,6.801649987,DOWN
Pfkl,"phosphofructokinase, liver, B-type",10,1.33499224,★,0.002645174,5.031420627,6.366412866,UP
Rcan2,regulator of calcineurin 2,17,1.334846802,★,0.020135278,2.086839625,3.421686427,UP
Man2b2,"mannosidase 2, alpha B2",5,1.332574135,★,0.005180791,4.093642062,5.426216197,UP
Pcca,"propionyl-Coenzyme A carboxylase, alpha polypeptid...",14,1.330707725,★,0.010049645,3.21657889,4.547286615,UP
Polr2a,polymerase (RNA) II (DNA directed) polypeptide A,11,1.329427877,★,0.001780669,4.710344868,6.039772745,UP
Mfsd10,major facilitator superfamily domain containing 10,5,1.323987005,★,0.007695748,3.783509201,5.107496206,UP
Plag1,pleiomorphic adenoma gene 1,4,1.322874798,★,0.033589791,0.545342529,1.868217326,UP
Srd5a2,steroid 5 alpha-reductase 2,17,1.322749435,★,0.038526529,1.963439476,3.28618891,UP
Cdk5rap1,CDK5 regulatory subunit associated protein 1,2,-1.322307008,★,0.018625504,4.121952243,2.799645235,DOWN
Cog1,component of oligomeric golgi complex 1,11,1.315989489,★,0.007072607,3.492670103,4.808659592,UP
Fchsd1,FCH and double SH3 domains 1,18,1.315796651,★,0.032981724,0.91763703,2.233433682,UP
Katnb1,katanin p80 (WD40-containing) subunit B 1,8,1.314008661,★,0.018209362,2.045086553,3.359095213,UP
Irf8,interferon regulatory factor 8,8,1.313102534,★,0.024860917,2.027162511,3.340265045,UP
Man2b1,"mannosidase 2, alpha B1",8,1.312986153,★,0.008620128,4.050296812,5.363282965,UP
Eps8l2,EPS8-like 2,7,1.311806082,★,0.014809902,3.447018395,4.758824477,UP
Sh3tc1,SH3 domain and tetratricopeptide repeats 1,5,1.310761933,★,0.032003893,4.020375156,5.331137089,UP
Prss30,"protease, serine 30",17,1.308352742,★,0.012672347,2.840277806,4.148630548,UP
Atoh8,atonal bHLH transcription factor 8,6,1.300800529,★,0.030582894,2.828781787,4.129582316,UP
Tomm5,translocase of outer mitochondrial membrane 5,4,-1.288316922,★,0.002376769,7.360668935,6.072352013,DOWN
Mroh1,maestro heat-like repeat family member 1,15,1.285782119,★,0.012255258,2.797591191,4.08337331,UP
Ppp2r5d,"protein phosphatase 2, regulatory subunit B', delt...",17,1.283228751,★,0.016818159,4.016204986,5.299433737,UP
Kat2a,K(lysine) acetyltransferase 2A,11,1.28268908,★,0.038048536,1.832759079,3.115448159,UP
Pecam1,platelet/endothelial cell adhesion molecule 1,11,1.279738037,★,0.002562931,9.150213056,10.42995109,UP
Rtp3,receptor transporter protein 3,9,1.279627673,★,0.028269235,2.369615341,3.649243014,UP
Gpr108,G protein-coupled receptor 108,17,1.279464989,★,0.00679965,3.971103048,5.250568037,UP
Ephx1,"epoxide hydrolase 1, microsomal",1,1.27933241,★,0.000436173,7.601908994,8.881241403,UP
S100a10,S100 calcium binding protein A10 (calpactin),3,-1.277323536,★,0.000408145,10.3963261,9.11900256,DOWN
Hlf,hepatic leukemia factor,11,1.27670315,★,0.032003893,1.36506055,2.6417637,UP
Dusp19,dual specificity phosphatase 19,2,-1.27363363,★,0.018194879,4.341488202,3.067854572,DOWN
Cdc42ep4,CDC42 effector protein (Rho GTPase binding) 4,11,1.270515839,★,0.002562931,5.154073174,6.424589013,UP
Fbxo42,F-box protein 42,4,1.268367653,★,0.008866013,3.960464254,5.228831907,UP
Nucb1,nucleobindin 1,7,1.268112283,★,0.002777904,5.009124522,6.277236805,UP
Angpt2,angiopoietin 2,8,1.267741154,★,0.005578299,4.766148592,6.033889746,UP
Sorbs3,sorbin and SH3 domain containing 3,14,1.2668258,★,0.002642355,6.307111715,7.573937515,UP
Gstt1,"glutathione S-transferase, theta 1",10,1.264651414,★,0.002376769,5.352548306,6.617199719,UP
Dpp9,dipeptidylpeptidase 9,17,1.263554746,★,0.015369359,2.88500234,4.148557086,UP
Pcdh1,protocadherin 1,18,1.260828437,★,0.00239435,4.99018445,6.251012887,UP
Rela,v-rel reticuloendotheliosis viral oncogene homolog...,19,1.26052419,★,0.001249212,5.781209171,7.041733361,UP
Gstm1,"glutathione S-transferase, mu 1",3,1.260146325,★,0.000361606,8.340632685,9.60077901,UP
Srd5a1,steroid 5 alpha-reductase 1,13,1.260022466,★,0.040446195,0.776670754,2.03669322,UP
Atp6v0e2,"ATPase, H+ transporting, lysosomal V0 subunit E2",6,1.259741166,★,0.006550588,3.9684258,5.228166967,UP
Osgin1,oxidative stress induced growth inhibitor 1,8,1.259701971,★,0.009721001,3.445421884,4.705123855,UP
Pfkfb3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatas...",2,1.258480866,★,0.002777904,4.913159288,6.171640154,UP
Map2k6,mitogen-activated protein kinase kinase 6,11,-1.258297135,★,0.025058636,4.190205816,2.931908681,DOWN
Klhl26,kelch-like 26,8,1.255896496,★,0.04022918,2.235335933,3.491232429,UP
Rundc1,RUN domain containing 1,11,1.255756524,★,0.014700115,3.078595327,4.334351851,UP
Lage3,"L antigen family, member 3",X,-1.254286963,★,0.00672745,6.073676812,4.819389849,DOWN
Aco2,"aconitase 2, mitochondrial",15,1.25398091,★,0.0032852,5.383798771,6.637779681,UP
Anapc5,anaphase-promoting complex subunit 5,5,1.253524368,★,0.005646415,4.424132471,5.677656839,UP
Il16,interleukin 16,7,1.253478156,★,0.00234495,5.263990769,6.517468925,UP
Atad3a,"ATPase family, AAA domain containing 3A",4,1.252310796,★,0.021324082,2.805018436,4.057329231,UP
Dym,dymeclin,18,1.251637929,★,0.006775886,3.996648418,5.248286347,UP
Pnpla2,patatin-like phospholipase domain containing 2,7,1.25117069,★,0.002122447,6.146042488,7.397213179,UP
Xdh,xanthine dehydrogenase,17,1.25015574,★,0.001606766,7.029128111,8.279283851,UP
Abca7,"ATP-binding cassette, sub-family A (ABC1), member ...",10,1.250089715,★,0.017973144,3.328215621,4.578305337,UP
Atp5e,"ATP synthase, H+ transporting, mitochondrial F1 co...",2,-1.250047334,★,0.00297721,8.078457692,6.828410358,DOWN
Dnajc15,DnaJ heat shock protein family (Hsp40) member C15,14,-1.244287727,★,0.008666525,5.503558481,4.259270754,DOWN
Pcdhga5,"protocadherin gamma subfamily A, 5",18,1.244206673,★,0.018911257,2.645908082,3.890114755,UP
Ntng2,netrin G2,2,1.242651549,★,0.028265267,2.312908887,3.555560436,UP
Ahi1,Abelson helper integration site 1,10,1.240130047,★,0.036671224,1.202833855,2.442963902,UP
Lzts2,"leucine zipper, putative tumor suppressor 2",19,1.239906507,★,0.00315034,4.832793882,6.072700389,UP
Psap,prosaposin,10,1.239624229,★,0.000736893,9.095500827,10.33512506,UP
Stom,stomatin,2,1.23932075,★,0.00117967,6.545033702,7.784354452,UP
Dsc2,desmocollin 2,18,1.238947932,★,0.033235333,0.737207281,1.976155213,UP
Mrpl52,mitochondrial ribosomal protein L52,14,-1.238066783,★,0.008054082,5.340183945,4.102117162,DOWN
Srrm2,serine/arginine repetitive matrix 2,17,1.236411943,★,0.009721001,3.798063503,5.034475446,UP
Npm3,nucleoplasmin 3,19,1.23510019,★,0.011197829,4.010409944,5.245510134,UP
Btbd2,BTB (POZ) domain containing 2,10,1.234966185,★,0.016818159,3.13028548,4.365251665,UP
3830406C13Rik,RIKEN cDNA 3830406C13 gene,14,-1.233865103,★,0.035332423,3.22105429,1.987189188,DOWN
Snx4,sorting nexin 4,16,1.232909271,★,0.01338032,3.429525767,4.662435038,UP
Lonp1,"lon peptidase 1, mitochondrial",17,1.231791018,★,0.016844911,3.249465615,4.481256632,UP
Mcts2,malignant T cell amplified sequence 2,2,-1.231547699,★,0.021298317,4.326244042,3.094696343,DOWN
Tmem63a,transmembrane protein 63a,1,1.230048985,★,0.002923659,4.793623179,6.023672164,UP
Pxn,paxillin,5,1.229633358,★,0.002798031,5.023261434,6.252894792,UP
Ablim3,"actin binding LIM protein family, member 3",18,1.227942697,★,0.001919755,6.625251302,7.853193999,UP
Sms,spermine synthase,X,-1.225924982,★,0.009721001,5.72601625,4.500091268,DOWN
Actn4,actinin alpha 4,7,1.222398717,★,0.002645174,6.669910778,7.892309495,UP
Mgrn1,"mahogunin, ring finger 1",16,1.22193665,★,0.005105473,4.848012317,6.069948967,UP
Elmod3,ELMO/CED-12 domain containing 3,6,1.221804423,★,0.021908105,2.45602152,3.677825943,UP
Ext2,exostosin glycosyltransferase 2,2,1.219594675,★,0.002777904,5.751904266,6.971498941,UP
Vps11,"VPS11, CORVET/HOPS core subunit",9,1.216911626,★,0.007399164,4.403837832,5.620749458,UP
Gstt3,"glutathione S-transferase, theta 3",10,1.2168644,★,0.001249212,6.326352314,7.543216714,UP
Pygm,muscle glycogen phosphorylase,19,1.215786312,★,0.011918183,4.010473256,5.226259568,UP
